受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2020-11-05,160008,富山県,,12
2020-11-06,160008,富山県,,6
2020-11-07,160008,富山県,,5
2020-11-08,160008,富山県,,3
2020-11-09,160008,富山県,,25
2020-11-10,160008,富山県,,13
2020-11-11,160008,富山県,,17
2020-11-12,160008,富山県,,11
2020-11-13,160008,富山県,,12
2020-11-14,160008,富山県,,10
2020-11-15,160008,富山県,,4
2020-11-16,160008,富山県,,25
2020-11-17,160008,富山県,,19
2020-11-18,160008,富山県,,20
2020-11-19,160008,富山県,,17
2020-11-20,160008,富山県,,20
2020-11-21,160008,富山県,,12
2020-11-22,160008,富山県,,5
2020-11-23,160008,富山県,,15
2020-11-24,160008,富山県,,20
2020-11-25,160008,富山県,,14
2020-11-26,160008,富山県,,12
2020-11-27,160008,富山県,,17
2020-11-28,160008,富山県,,20
2020-11-29,160008,富山県,,10
2020-11-30,160008,富山県,,25
2020-12-01,160008,富山県,,25
2020-12-02,160008,富山県,,22
2020-12-03,160008,富山県,,20
2020-12-04,160008,富山県,,12
2020-12-05,160008,富山県,,9
2020-12-06,160008,富山県,,11
2020-12-07,160008,富山県,,23
2020-12-08,160008,富山県,,30
2020-12-09,160008,富山県,,15
2020-12-10,160008,富山県,,8
2020-12-11,160008,富山県,,9
2020-12-12,160008,富山県,,6
2020-12-13,160008,富山県,,14
2020-12-14,160008,富山県,,14
2020-12-15,160008,富山県,,13
2020-12-16,160008,富山県,,19
2020-12-17,160008,富山県,,9
2020-12-18,160008,富山県,,12
2020-12-19,160008,富山県,,13
2020-12-20,160008,富山県,,17
2020-12-21,160008,富山県,,13
2020-12-22,160008,富山県,,19
2020-12-23,160008,富山県,,24
2020-12-24,160008,富山県,,12
2020-12-25,160008,富山県,,14
2020-12-26,160008,富山県,,17
2020-12-27,160008,富山県,,18
2020-12-28,160008,富山県,,26
2020-12-29,160008,富山県,,18
2020-12-30,160008,富山県,,21
2020-12-31,160008,富山県,,31
2021-01-01,160008,富山県,,32
2021-01-02,160008,富山県,,37
2021-01-03,160008,富山県,,27
2021-01-04,160008,富山県,,42
2021-01-05,160008,富山県,,52
2021-01-06,160008,富山県,,47
2021-01-07,160008,富山県,,45
2021-01-08,160008,富山県,,15
2021-01-09,160008,富山県,,12
2021-01-10,160008,富山県,,17
2021-01-11,160008,富山県,,31
2021-01-12,160008,富山県,,33
2021-01-13,160008,富山県,,27
2021-01-14,160008,富山県,,24
2021-01-15,160008,富山県,,28
2021-01-16,160008,富山県,,22
2021-01-17,160008,富山県,,23
2021-01-18,160008,富山県,,26
2021-01-19,160008,富山県,,15
2021-01-20,160008,富山県,,22
2021-01-21,160008,富山県,,20
2021-01-22,160008,富山県,,12
2021-01-23,160008,富山県,,28
2021-01-24,160008,富山県,,17
2021-01-25,160008,富山県,,32
2021-01-26,160008,富山県,,24
2021-01-27,160008,富山県,,14
2021-01-28,160008,富山県,,24
2021-01-29,160008,富山県,,17
2021-01-30,160008,富山県,,17
2021-01-31,160008,富山県,,36
2021-02-01,160008,富山県,,27
2021-02-02,160008,富山県,,22
2021-02-03,160008,富山県,,15
2021-02-04,160008,富山県,,18
2021-02-05,160008,富山県,,13
2021-02-06,160008,富山県,,19
2021-02-07,160008,富山県,,21
2021-02-08,160008,富山県,,15
2021-02-09,160008,富山県,,10
2021-02-10,160008,富山県,,10
2021-02-11,160008,富山県,,29
2021-02-12,160008,富山県,,23
2021-02-13,160008,富山県,,20
2021-02-14,160008,富山県,,27
2021-02-15,160008,富山県,,31
2021-02-16,160008,富山県,,20
2021-02-17,160008,富山県,,8
2021-02-18,160008,富山県,,13
2021-02-19,160008,富山県,,17
2021-02-20,160008,富山県,,18
2021-02-21,160008,富山県,,9
2021-02-22,160008,富山県,,21
2021-02-23,160008,富山県,,17
2021-02-24,160008,富山県,,19
2021-02-25,160008,富山県,,19
2021-02-26,160008,富山県,,14
2021-02-27,160008,富山県,,9
2021-02-28,160008,富山県,,6
2021-03-01,160008,富山県,,12
2021-03-02,160008,富山県,,8
2021-03-03,160008,富山県,,9
2021-03-04,160008,富山県,,10
2021-03-05,160008,富山県,,9
2021-03-06,160008,富山県,,6
2021-03-07,160008,富山県,,20
2021-03-08,160008,富山県,,17
2021-03-09,160008,富山県,,12
2021-03-10,160008,富山県,,15
2021-03-11,160008,富山県,,13
2021-03-12,160008,富山県,,6
2021-03-13,160008,富山県,,13
2021-03-14,160008,富山県,,22
2021-03-15,160008,富山県,,20
2021-03-16,160008,富山県,,20
2021-03-17,160008,富山県,,8
2021-03-18,160008,富山県,,11
2021-03-19,160008,富山県,,6
2021-03-20,160008,富山県,,16
2021-03-21,160008,富山県,,22
2021-03-22,160008,富山県,,18
2021-03-23,160008,富山県,,9
2021-03-24,160008,富山県,,13
2021-03-25,160008,富山県,,13
2021-03-26,160008,富山県,,17
2021-03-27,160008,富山県,,16
2021-03-28,160008,富山県,,18
2021-03-29,160008,富山県,,25
2021-03-30,160008,富山県,,21
2021-03-31,160008,富山県,,10
2021-04-01,160008,富山県,,29
2021-04-02,160008,富山県,,52
2021-04-03,160008,富山県,,26
2021-04-04,160008,富山県,,29
2021-04-05,160008,富山県,,45
2021-04-06,160008,富山県,,34
2021-04-07,160008,富山県,,47
2021-04-08,160008,富山県,,50
